epi,ROOTFS,BOOT_ULD,DEVICE_MODEL,APP_VERSION,EPI_ID,REBOOT_DATE_TIME,MEDIA,SIGNAL,DEVICE_NAME,DEVICE_TYPE,BATTERY_PERCENT,BATTERY_STATUS,DISK_TOTAL_SIZE,DISK_USED_SIZE,RAM_TOTAL_SIZE,RAM_USED_SIZE,PINPAD_STATE
2320124364,,2.12.1,X800,V3.0.43A,2320124364,Fri Nov 21 02:30:18 EST 2025,WIFI,90,VP800,Portable,96,CHARGING_AC,11660.00 MB,2649.00 MB,2048.00 MB,31.12 MB,
2320124361,,2.12.1,N950S-C,V3.0.41,2320124361,Fri Nov 21 10:10:23 AST 2025,WIFI,80,VP550C,Portable,81,NON-CHARGING,4860.00 MB,1323.00 MB,1024.00 MB,34.21 MB,
2320124363,,A310,S1F3,V3.0.39N,2320124363,10-21-2025  6 : 44,WIFI,,VL550,Portable,48,NON-CHARGING,25789.00 MB,2249.00 MB,1762.00 MB,49.74 MB,
2320124367,,2.12.1,N950,V3.0.41A,2320124367,Fri Nov 21 01:24:48 CST 2025,WIFI,90,VP550,Portable,56,NON-CHARGING,10909.00 MB,1931.00 MB,2048.00 MB,37.84 MB,
2320124369,,2.12.1,N910,V3.0.41A,2320124369,Fri Nov 21 09:05:33 EST 2025,WIFI,90,VP500,Portable,100,NON-CHARGING,6117.00 MB,1276.00 MB,900.00 MB,36.23 MB,
2320096986,VR1S20-20230407,VR0735-20221102_,VEGA3000,v3_0_39,2320096986,1.12E+13,WIFI,90,VALOR110,Portable,81,Battery_Charging,262_MB,183_MB,115_MB,112_MB,
2320124373,AB17,19,SATURN 1000,V3.0.27D,2320124373,10-21-2025  7 : 12,WIFI,90,VL500,Portable,11,NON-CHARGING,6072.00 MB,1412.00 MB,898.00 MB,39.19 MB,
2229160880,VR1S20-20230407,VR0735-20221102_,VEGA3000,v3_0_43,2229160880,1.12E+13,WIFI,92,VALOR100,Counter_top,,,262_MB,140_MB,115_MB,39_MB,
2320125037,VR1S20-20230407,VR0735-20221102,VEGA3000,v3.0.43,2320125037,1.12E+13,WIFI,90,VALOR100,Counter top,,,262 MB,107 MB,115 MB,35 MB,
2320124370,,,SP880,v3_0_43,2320124370,,WIFI,73,VP100,Counter_top,,,268_MB,141_MB,153_MB,150_MB,
2320124366,VR1S20-20230407,VR0735-20221102,VEGA3000P,v3.0.43,2320124366,1.12E+13,WIFI,,VEGA3000P,Counter top,,,262 MB,106 MB,115 MB,32 MB,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2320124361,,2.12.1,N950S-C,V3.0.41,2320124361,Fri Nov 21 10:10:23 AST 2025,WIFI,80,VP550C,Portable,81,NON-CHARGING,4860.00 MB,1323.00 MB,1024.00 MB,34.21 MB,
2320124363,,A310,S1F3,V3.0.39N,2320124363,10-21-2025  6 : 44,WIFI,,VL550,Portable,48,NON-CHARGING,25789.00 MB,2249.00 MB,1762.00 MB,49.74 MB,
2320124367,,2.12.1,N950,V3.0.41A,2320124367,Fri Nov 21 01:24:48 CST 2025,WIFI,90,VP550,Portable,56,NON-CHARGING,10909.00 MB,1931.00 MB,2048.00 MB,37.84 MB,
2320124369,,2.12.1,N910,V3.0.41A,2320124369,Fri Nov 21 09:05:33 EST 2025,WIFI,90,VP500,Portable,100,NON-CHARGING,6117.00 MB,1276.00 MB,900.00 MB,36.23 MB,
2320096986,VR1S20-20230407,VR0735-20221102_,VEGA3000,v3_0_39,2320096986,1.12E+13,WIFI,90,VALOR110,Portable,81,Battery_Charging,262_MB,183_MB,115_MB,112_MB,
2320124373,AB17,19,SATURN 1000,V3.0.27D,2320124373,10-21-2025  7 : 12,WIFI,90,VL500,Portable,11,NON-CHARGING,6072.00 MB,1412.00 MB,898.00 MB,39.19 MB,
2229160880,VR1S20-20230407,VR0735-20221102_,VEGA3000,v3_0_43,2229160880,1.12E+13,WIFI,92,VALOR100,Counter_top,,,262_MB,140_MB,115_MB,39_MB,
2320125037,VR1S20-20230407,VR0735-20221102,VEGA3000,v3.0.43,2320125037,1.12E+13,WIFI,90,VALOR100,Counter top,,,262 MB,107 MB,115 MB,35 MB,
2320124370,,,SP880,v3_0_43,2320124370,,WIFI,73,VP100,Counter_top,,,268_MB,141_MB,153_MB,150_MB,
2320124366,VR1S20-20230407,VR0735-20221102,VEGA3000P,v3.0.43,2320124366,1.12E+13,WIFI,,VEGA3000P,Counter top,,,262 MB,106 MB,115 MB,32 MB,
